Lambda,D_rot,score
1000000.0,0.0,0.9992
1000000.0,0.0,0.9992
1000000.0,0.0,0.9992
1000000.0,0.0,0.9989
1000000.0,0.0,0.9993
1000000.0,0.0,0.999
1000000.0,0.0,0.9993
1000000.0,0.0,0.9991
1000000.0,0.0,0.9989
1000000.0,0.0,0.9991
1000000.0,0.0,0.9991
1000000.0,0.0,0.9989
1000000.0,0.0,0.9987
1000000.0,0.0,0.9988
1000000.0,0.0,0.9992
1000000.0,0.0,0.999
1000000.0,0.0,0.999
1000000.0,0.0,0.9993
1000000.0,0.0,0.9988
1000000.0,0.0,0.9991
1000000.0,0.0,0.9987
1000000.0,0.0,0.999
1000000.0,0.0,0.9994
1000000.0,0.0,0.9994
1000000.0,0.0,0.9995
1000000.0,0.0,0.9985
1000000.0,0.0,0.9991
1000000.0,0.0,0.9994
1000000.0,0.0,0.9992
1000000.0,0.0,0.999
1000000.0,0.0,0.9988
1000000.0,0.0,0.999
1000000.0,0.0,0.999
1000000.0,0.0,0.9992
1000000.0,0.0,0.9989
1000000.0,0.0,0.9987
1000000.0,0.0,0.999
1000000.0,0.0,0.9988
1000000.0,0.0,0.999
1000000.0,0.0,0.9987
1000000.0,0.0,0.9991
1000000.0,0.0,0.9993
1000000.0,0.0,0.9986
1000000.0,0.0,0.9994
1000000.0,0.0,0.9987
1000000.0,0.0,0.999
1000000.0,0.0,0.9992
1000000.0,0.0,0.9989
1000000.0,0.0,0.9987
1000000.0,0.0,0.9996
1000000.0,0.0,0.9992
1000000.0,0.0,0.999
1000000.0,0.0,0.9991
1000000.0,0.0,0.9991
1000000.0,0.0,0.9992
1000000.0,0.0,0.9996
1000000.0,0.0,0.9986
1000000.0,0.0,0.9993
1000000.0,0.0,0.999
1000000.0,0.0,0.9991
1000000.0,0.0,0.9995
1000000.0,0.0,0.9991
10000000.0,0.0,0.9997
10000000.0,0.0,0.9994
10000000.0,0.0,0.9994
10000000.0,0.0,0.9995
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9994
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9995
10000000.0,0.0,0.9997
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9999
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9994
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9999
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9998
10000000.0,0.0,0.9995
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9999
10000000.0,0.0,0.9995
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
10000000.0,0.0,0.9995
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9996
10000000.0,0.0,0.9999
10000000.0,0.0,0.9995
10000000.0,0.0,0.9998
10000000.0,0.0,0.9998
10000000.0,0.0,0.9999
10000000.0,0.0,0.9997
10000000.0,0.0,0.9996
10000000.0,0.0,0.9997
10000000.0,0.0,0.9998
10000000.0,0.0,0.9997
